active,address.0.line.0,address.0.use,birthDate,fullUrl,gender,id,identifier.0.system,identifier.0.type.coding.0.code,identifier.0.type.coding.0.system,identifier.0.value,managingOrganization.reference,meta.lastUpdated,name.0.family,name.0.given.0,name.0.use,resourceType,telecom.0.system,telecom.0.use,telecom.0.value,text.div,text.status
True,2222 Home Street,home,1973-05-31,http://hl7.org/fhir/Patient/1,female,1,http://hl7.org/fhir/sid/us-ssn,SS,http://hl7.org/fhir/v2/0203,444222222,Organization/hl7,2012-05-29T23:45:32Z,Everywoman,Eve,official,Patient,phone,work,555-555-2003,"<div xmlns=""http://www.w3.org/1999/xhtml"">Everywoman  Eve. SSN:             444222222</div>",generated
True,2222 Home Street,home,http://hl7.org/fhir/Patient/2,male,2,http://hl7.org/fhir/sid/us-ssn,SS,http://hl7.org/fhir/v2/0203,444333333,Organization/hl7,2012-05-29T23:45:32Z,Everyman,Adam,official,Patient,phone,work,555-555-2004,"<div xmlns=""http://www.w3.org/1999/xhtml"">Everyman  Adam. SSN:             444333333</div>",generated
True,2222 Home Street,home,http://hl7.org/fhir/Patient/3,female,3,http://hl7.org/fhir/sid/us-ssn,SS,http://hl7.org/fhir/v2/0203,444555555,Organization/hl7,2012-05-29T23:45:32Z,Kidd,Kari,official,Patient,phone,work,555-555-2005,"<div xmlns=""http://www.w3.org/1999/xhtml"">Kidd  Kari. SSN:             444555555</div>",generated
True,6666 Home Street,home,http://hl7.org/fhir/Patient/4,female,4,http://hl7.org/fhir/sid/us-ssn,SS,http://hl7.org/fhir/v2/0203,444114567,Organization/hl7,2012-05-29T23:45:32Z,Nuclear,Nancy,official,Patient,phone,work,555-555-5001,"<div xmlns=""http://www.w3.org/1999/xhtml"">Nuclear  Nancy. SSN:             444114567</div>",generated
True,6666 Home Street,home,http://hl7.org/fhir/Patient/5,male,5,http://hl7.org/fhir/sid/us-ssn,SS,http://hl7.org/fhir/v2/0203,444111234,Organization/hl7,2012-05-29T23:45:32Z,Nuclear,Neville,official,Patient,phone,work,555-555-5001,"<div xmlns=""http://www.w3.org/1999/xhtml"">Nuclear  Neville. SSN:             444111234</div>",generated
True,6666 Home Street,home,http://hl7.org/fhir/Patient/6,male,6,http://hl7.org/fhir/sid/us-ssn,SS,http://hl7.org/fhir/v2/0203,444113456,Organization/hl7,2012-05-29T23:45:32Z,Nuclear,Ned,official,Patient,phone,work,555-555-5001,"<div xmlns=""http://www.w3.org/1999/xhtml"">Nuclear  Ned. SSN:             444113456</div>",generated
True,6666 Home Street,home,http://hl7.org/fhir/Patient/7,female,7,http://hl7.org/fhir/sid/us-ssn,SS,http://hl7.org/fhir/v2/0203,444112345,Organization/hl7,2012-05-29T23:45:32Z,Nuclear,Nelda,official,Patient,phone,work,555-555-5001,"<div xmlns=""http://www.w3.org/1999/xhtml"">Nuclear  Nelda. SSN:             444112345</div>",generated
True,4444 Home Street,home,http://hl7.org/fhir/Patient/8,female,8,http://hl7.org/fhir/sid/us-ssn,SS,http://hl7.org/fhir/v2/0203,444666666,Organization/hl7,2012-05-29T23:45:32Z,Mum,Martha,official,Patient,phone,work,555-555-2006,"<div xmlns=""http://www.w3.org/1999/xhtml"">Mum  Martha. SSN:             444666666</div>",generated
http://example.org/Profile/administrative-status,FTM,female-to-male,http://example.org/fhir/v2/administrative-status,True,4444 Home Street,home,2002-08-24,http://hl7.org/fhir/Patient/9,other,9,http://hl7.org/fhir/sid/us-ssn,SS,http://hl7.org/fhir/v2/0203,444777777,Organization/hl7,2012-05-29T23:45:32Z,Sons,Stuart,official,Patient,phone,work,555-555-2007,"<div xmlns=""http://www.w3.org/1999/xhtml"">Sons  Stuart. SSN:             444777777</div>",generated
True,2222 Home Street,home,http://hl7.org/fhir/Patient/10,male,10,http://hl7.org/fhir/sid/us-ssn,SS,http://hl7.org/fhir/v2/0203,444888888,Organization/hl7,2012-05-29T23:45:32Z,Betterhalf,Boris,official,Patient,phone,work,555-555-2008,"<div xmlns=""http://www.w3.org/1999/xhtml"">Betterhalf  Boris. SSN:             444888888</div>",generated
True,4444 Home Street,home,http://hl7.org/fhir/Patient/11,male,11,http://hl7.org/fhir/sid/us-ssn,SS,http://hl7.org/fhir/v2/0203,444999999,Organization/hl7,2012-05-29T23:45:32Z,Relative,Ralph,official,Patient,phone,work,555-555-2009,"<div xmlns=""http://www.w3.org/1999/xhtml"">Relative  Ralph. SSN:             444999999</div>",generated
True,5555 Home Street,home,http://hl7.org/fhir/Patient/12,female,12,http://hl7.org/fhir/sid/us-ssn,SS,http://hl7.org/fhir/v2/0203,555222222,Organization/hl7,2012-05-29T23:45:32Z,Contact,Carrie,official,Patient,phone,work,555-555-2010,"<div xmlns=""http://www.w3.org/1999/xhtml"">Contact  Carrie. SSN:             555222222</div>",generated
